PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Primacy Type,Owner Type,Primary Source,Activity Status,Deactivation Date,Season Begin Date,Season End Date,Is Wholesaler,Pop Cat 5,Pop Cat 11,Population Served Count,Is Outstanding Performer,Outstanding Performer Date,Is Source Water Protected,Source Water Protection Date,Service Connections Count,Seasonal Startup System,Org Name,Admin Name,Email Address,Phone Number,Phone Ext Number,Fax Number,Alt Phone Number,Address Line1,Address Line2,City Name,State Code,Zip Code,Country Code,First Reported Date,Last Reported Date,GW or SW,Is School Or Daycare,GW or SW Code
MA2140013,BRIARWOOD TOWNHOMES,Region 1,Massachusetts,Community water system,State,Private,Ground water,Active,,,,N,<=500,<=100,40,,,,,21,,"NORTHPOINT MANAGEMENT, LLC",JAY  ENGELHARDT,JPE2362@YAHOO.COM,6035942300,,6035942310,5082082819,55 LAKE STREET,4TH FLOOR - SUITE 7,NASHUA,NH,03060,US,15-DEC-1993,15-SEP-2021,Groundwater,N,GW
MA1148000,LANESBOROUGH FIRE AND WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Local government,Surface water purchased,Active,,,,N,"501-3,300","1,001-3,300","2,324",,,,,888,,LANESBOROUGH FIRE DISTRICT,KEVIN S SWAIL,lfwd@verizon.net,4134425916,,4133959721,,PO BOX 1504,,LANESBOROUGH,MA,01237,US,26-FEB-1979,15-SEP-2021,Surface water,N,SW
MA2125002,SAINT BENEDICT ABBEY,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,25,,,,,3,,ST. BENEDICT ABBEY C/O FR.CONNELLY,PAUL MCGOVERN,KMBH2O@AOL.COM,9784563221,,9784568181,5083352583,"252 STILL RIVER RD, PO BOX 67",,STILL RIVER,MA,01467,US,29-FEB-1980,15-SEP-2021,Groundwater,N,GW
MA1249013,HILLTOP ORCHARD AND FURNACE BROOK WINERY,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,25,,,,,1,,VITTORI REALTY TRUST,JOHN VITTORI,mashman@berkshire.rr.com,4136983301,,,,PO BOX 189,,RICHMOND,MA,01254,US,18-MAR-2011,15-SEP-2021,Groundwater,N,GW
MA1256004,AMC NOBLE VIEW OUTDOOR CENTER,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,50,,,,,1,,AMC NOBLE VIEW OUTDOOR CENTER,FRANK  EVANS,CHAIRPERSONNOBLEVIEW@GMAIL.COM,6036745909,,,4135724501,C/O GILLAM AHN,8 WELCH ROAD,LEXINGTON,MA,02421,US,18-MAR-2011,15-SEP-2021,Groundwater,N,GW
MA2140017,RON BURTON TRAINING VILLAGE,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,05-01,09-30,N,<=500,101-500,120,,,,,3,Not Pressurized all Year,"CAMELOT CAMP, INC.","RONALD E BURTON, JR",INFO@RONBURTONTRAININGVILLAGE.ORG,9789285566,,,6176998844,P.O. BOX 2,,HUBBARDSTON,MA,01452,US,18-MAR-2011,15-SEP-2021,Groundwater,N,GW
MA2215004,TOUGAS FARM (BALL HILL REALTY),Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,05-15,10-31,N,"501-3,300","1,001-3,300","1,140",,,,,5,Not Pressurized all Year,BALL HILL REALTY/TOUGAS FARM,ANDRE TOUGAS,andre@tougasfarm.com,5084500844,,,5086417256,246 BALL ST,,NORTHBOROUGH,MA,01532,US,16-JUN-2009,15-SEP-2021,Groundwater,N,GW
MA2304002,MCDONALDS RESTAURANT,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,"501-3,300","501-1,000",994,,,,,1,,SELLIA CORPORATION DBA MCDONALDS REST,DAVID BALDUCCI,DAVID.BALDUCCI@PARTNERS.MCD.COM,5082789431,,5088859283,5088859011,P.O. BOX 902,,SPENCER,MA,01562,US,29-FEB-1980,15-SEP-2021,Groundwater,N,GW
MA2147011,OUT WATER LLC,Region 1,Massachusetts,Non-Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,25,,,,,2,,OUT WATER LLC,TIMOTHY MADIGAN,mstack@jcmadigan.com,9787722067,,,9788472900,450 OLD UNION TURNPIKE,,LANCASTER,MA,01523,US,18-MAR-2011,15-SEP-2021,Groundwater,N,GW
MA1203018,CANTINA 229,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,25,,,,,1,,229 CANTINA,JOSH IRWIN,229FOOD@GMAIL.COM,4132293276,,,,229 HARTSVILLE NEW MARLBOROUGH ROAD,,NEW MARLBOROUGH,MA,01230,US,16-SEP-2016,15-SEP-2021,Groundwater,N,GW
MA1227020,PALMER MOTORSPORTS PARK,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,04-01,10-31,N,<=500,<=100,100,,,,,1,Not Pressurized all Year,PALMER MOTORSPORTS PARK,CHRISTOPHER TIER,GM@PALMERMOTORSPORTSPARK.COM,4133453417,,,,58 WEST WARE ROAD,,PALMER,MA,01069,US,15-DEC-2015,15-SEP-2021,Groundwater,N,GW
MA2286032,HONEY POT HILL ORCHARDS,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,08-01,12-31,N,<=500,<=100,100,,,,,4,All Pressurized Including Offseason,"HONEY POT HILL ORCHARDS, INC",CHELCIE MARTIN,chelcie@honeypothill.com,9785625666,,,9788752756,138 SUDBURY ROAD,,STOW,MA,01775,US,15-DEC-2015,15-SEP-2021,Groundwater,N,GW
MA1214004,NATIONAL WATER SERVICES,Region 1,Massachusetts,Transient non-community system,State,Private,Surface water purchased,Active,,01-01,12-31,N,<=500,<=100,43,,,,,1,,NATIONAL WATER SERVICES,RHONDA CULPEPPER,ADMIN@FRESHPURE.COM,5054715200,,,,RIVER VALLEY MARKET CO OP,,NORTHAMPTON,MA,01060,US,15-JUN-2016,15-SEP-2021,Surface water,N,SW
MA2028018,NORTHBROOK VILLAGE II,Region 1,Massachusetts,Community water system,State,Private,Ground water,Active,,,,N,<=500,<=100,80,,,,,1,,"AMY LAWTON, C/O MALONEY PROPERTIES",AMY LAWTON,ALAWTON@MALONEYPROPERTIES.COM,7744505115,,,6172095266,27 MICA LANE,,WELLESLEY,MA,02481,US,15-JUN-2016,15-SEP-2021,Groundwater,N,GW
MA1203017,THE BUGGY WHIP FACTORY LLC,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,25,,,,,1,,BERKSWORKS LLC,JEFF MACGREGOR,JEFFMACGREGOR@GMAIL.COM,4132293576,,,9179926507,PO BOX 244,,SOUTHFIELD,MA,01259,US,16-JUN-2009,15-SEP-2021,Groundwater,N,GW
MA1148016,MT GREYLOCK CAMPSITE PARK LLC,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,04-24,10-31,N,<=500,<=100,68,,,,,1,Not Pressurized all Year,MT GREYLOCK CAMPING PARK LLC,GORDON HUBBARD,INFO@MTGREYLOCKCAMPSITEPARK.COM,4134479419,,4134473775,,PO BOX 339,,LANESBOROUGH,MA,01237,US,19-JUN-1995,15-SEP-2021,Groundwater,N,GW
MA1111020,CINDYS DRIVE IN,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,04-15,10-15,N,<=500,<=100,50,,,,,1,Not Pressurized all Year,CINDY'S DRIVE IN,CYNTHIA MALONI,CINDYSDRIVEIN@GMAIL.COM,4134679866,,,,C/O CYNTHIA MALONI,32 LOSITO LANE,AGAWAM,MA,01001,US,19-JUN-1995,15-SEP-2021,Groundwater,N,GW
MA1111027,HALON PLAZA,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,101-500,250,,,,,1,,HALON PLAZA,MARK HALON,HALONPLAZA@YAHOO.COM,4133231024,,4135620374,4135316660,C/O MARK HALON,324 BARTON AVE,BELCHERTOWN,MA,01007,US,19-JUN-1995,15-SEP-2021,Groundwater,N,GW
MA1111028,AMERICAN LEGION POST #266,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,75,,,,,1,,AMERICAN LEGION POST #266,ED HOLBERG,HOLBERG55@COMCAST.NET,4134679545,,,4132839922,74 PLEASANT ST,,GRANBY,MA,01033,US,31-DEC-1996,15-SEP-2021,Groundwater,N,GW
MA1111029,PIZZA PALACE,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,01-01,12-31,N,<=500,<=100,25,,,,,1,,PIZZA PALACE,HARRY MARTIDIS,DEBMARTIDIS@GMAIL.COM,4134672112,,,,C/O HARRY MARTIDIS,8 CIRCLE DRIVE,GRANBY,MA,01033,US,19-JUN-1995,15-SEP-2021,Groundwater,N,GW
MA2202004,NEW BRAINTREE GRADE SCHOOL,Region 1,Massachusetts,Non-Transient non-community system,State,Local government,Ground water purchased,Active,,01-01,12-31,N,<=500,<=100,85,,,,,1,,NEW BRAINTREE GRADE SCH.,CLARE BARNES CLARE BARNES,CBARNES@QRSD.ORG,5088672553,,9783556756,9783556177,15 MEMORIAL DRIVE,,NEW BRAINTREE,MA,01531,US,20-JAN-1981,15-SEP-2021,Groundwater,Y,GW
MA4239051,LONG POND REALTY TRUST,Region 1,Massachusetts,Community water system,State,Private,Ground water,Active,,,,N,<=500,101-500,140,,,,,8,,LONG POND REALTY TRUST,RICHARD NIEBOER,NIECHU@AOL.COM,6173654171,,6172559778,,C/O RICHARD NIEBOE,54 HEADLANDS DR,PLYMOUTH,MA,02360,US,31-DEC-1996,15-SEP-2021,Groundwater,N,GW
MA4182016,WOODS POND CONDOMINIUMS,Region 1,Massachusetts,Transient non-community system,State,Private,Ground water,Active,,04-16,10-10,N,<=500,101-500,104,,,,,25,,WOODS POND CONDOMINIUMS  C/O JOHN HARRIS,JOHN HARRIS,WESTRIVERHARRIS7@GMAIL.COM,5089230420,,,5088218257,69 RIVER STREET,,RAYNHAM,MA,02767,US,07-OCT-1998,15-SEP-2021,Groundwater,N,GW
MA2332001,HOLMES PARK WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Private,Surface water purchased,Active,,,,N,<=500,101-500,131,,,,,49,,HOLMES PARK WATER DISTRICT,SCOTT P NUSSEY,SPNUSSEY@COMCAST.NET,9786327707,,,,33 RIDGE ST,,WESTMINSTER,MA,01473,US,26-FEB-1979,15-SEP-2021,Surface water,N,SW
MA2332005,LEINO PARK WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Private,Surface water purchased,Active,,,,N,<=500,101-500,120,,,,,57,,LEINO PARK WATER DISTRICT,DAVID P CRUMBLEY,DAVIDCRUMBLEY@YAHOO.COM,9788742569,,,,52 0LD OAK AVENUE,,WESTMINSTER,MA,01473,US,15-DEC-1993,15-SEP-2021,Surface water,N,SW
