"","CITY","total_population","male","female","under_5_years","x5_to_9_years","x10_to_14_years","x15_to_19_years","x20_to_24_years","x25_to_34_years","x35_to_44_years","x45_to_54_years","x55_to_59_years","x60_to_64_years","x65_to_74_years","x75_to_84_years","x85_years_and_over","median_age_years","white","black_or_african_american","native","asian","native_hawaiian_and_other_pacific_islander","some_other_race","hispanic_or_latino_of_any_race","not_hispanic_or_latino","less_than_10_000","x10_000_to_14_999","x15_000_to_24_999","x25_000_to_34_999","x35_000_to_49_999","x50_000_to_74_999","x75_000_to_99_999","x100_000_to_149_999","x150_000_to_199_999","x200_000_or_more","median_income_dollars","mean_income_dollars","population_for_whom_poverty_status_is_determined","total_housing_units","occupied_housing_units","vacant_housing_units","built_2014_or_later","built_2010_to_2013","built_2000_to_2009","built_1990_to_1999","built_1980_to_1989","built_1970_to_1979","built_1960_to_1969","built_1950_to_1959","built_1940_to_1949","built_1939_or_earlier","owner_occupied","renter_occupied","moved_in_2019_or_later","moved_in_2015_to_2018","moved_in_2010_to_2014","moved_in_2000_to_2009","moved_in_1990_to_1999","moved_in_1989_and_earlier","median_year_structure_built"
"1","ABINGTON",16557,0.522860421573957,0.477139578426043,0.0727184876487286,0.0473515733526605,0.0716313341788971,0.0600954279156852,0.057619133901069,0.107024219363411,0.138914054478468,0.169595941293713,0.0702421936341125,0.069155040164281,0.0761007428882044,0.0383523585190554,0.0211994926617141,39.8,0.910611825813855,0.0544180709065652,0.00404662680437277,0.0447544845080631,0,0.0443921000181192,0.0306214894002537,0.969378510599746,0.023,0.057,0.049,0.037,0.079,0.129,0.087,0.263,0.15,0.125,106001,110883,0.051,6397,0.950601844614663,0.0493981553853369,0.0362670001563233,0.0242301078630608,0.111145849617008,0.0604971080193841,0.0680006252931061,0.145068000625293,0.0683132718461779,0.148194466156011,0.0611224011255276,0.277161169298108,0.705330623729873,0.24527122088479,0.0472096295138346,0.207753634516179,0.219634203532906,0.228544630295451,0.113647022041582,0.13381272471471,"1962"
"2","ACTON",23634,0.468139121604468,0.531860878395532,0.0424388592705424,0.073961242278074,0.0777270034695777,0.0806465261910806,0.0363036303630363,0.0789117373275789,0.134467292883134,0.179021748328679,0.0977405432850977,0.0457815012270458,0.0833544892950834,0.0459507489210459,0.0236946771600237,43.8,0.716763984090717,0.0487856477955488,0.00757383430650757,0.256198696792756,0.00372344926800372,0.0138783109080139,0.0474739781670475,0.952526021832953,0.015,0.039,0.032,0.037,0.062,0.103,0.084,0.157,0.16,0.31,137981,168764,0.028,8946,0.977755421417393,0.0222445785826068,0.0290632684998882,0.0295103957075788,0.0871898054996647,0.139615470601386,0.101050748938073,0.192600044712721,0.18030404650123,0.126648781578359,0.0267158506595126,0.0873015873015873,0.702548625083836,0.275206796333557,0.0506371562709591,0.25463894477979,0.178403755868545,0.252850435949028,0.137156270959088,0.104068857589984,"1974"
"3","ACUSHNET",10589,0.472093682122958,0.527906317877042,0.0532628199074511,0.0525073189158561,0.0371139862121069,0.0453300594957031,0.0556237605061857,0.113230711115308,0.112475210123713,0.143828501274908,0.0839550476910001,0.074039097176315,0.1222022853905,0.0910378694872037,0.0153933327037492,48.1,0.942487487014827,0.0109547643781282,0.00302200396638021,0.0210595901407121,0,0.0555293228822363,0.0213429030125602,0.97865709698744,0.012,0.039,0.069,0.089,0.118,0.184,0.139,0.197,0.105,0.048,74035,90265,0.048,4266,0.974683544303797,0.0253164556962025,0,0.00515705578996718,0.0496952648851383,0.126816690107829,0.0787623066104079,0.106188466947961,0.251054852320675,0.161040787623066,0.0574308485700891,0.163853727144866,0.8328645100797,0.141819034224098,0.0103141115799344,0.133380215658697,0.116736990154712,0.256211908110642,0.206282231598687,0.251758087201125,"1965"
"4","ADAMS",8084,0.494186046511628,0.505813953488372,0.0399554675903018,0.0398317664522514,0.0552944087085601,0.0322859970311727,0.0541810984661059,0.127412172191984,0.120856011875309,0.126051459673429,0.0878278080158337,0.0863433943592281,0.123453735774369,0.0602424542305789,0.0462642256308758,47.8,0.974641266699654,0.0227610094012865,0.00321622958931222,0.0199158832261257,0,0.00606135576447303,0.0220188025729837,0.977981197427016,0.065,0.058,0.155,0.093,0.153,0.179,0.083,0.127,0.059,0.027,47636,66392,0.117,4492,0.885351736420303,0.114648263579697,0.0211487088156723,0.00356188780053428,0.00823686553873553,0.0264915405164737,0.0338379341050757,0.0609973285841496,0.0645592163846839,0.115761353517364,0.0859305431878896,0.579474621549421,0.523820124666073,0.36153161175423,0.0463045414069457,0.193009795191451,0.179652715939448,0.153383793410508,0.085040071237756,0.227960819234194,"1939-"
"5","AGAWAM",28627,0.480210989625179,0.519789010374821,0.0501275020085933,0.0432458867502707,0.053585775666329,0.0509658713801656,0.0512453278373563,0.125720473678695,0.10346875327488,0.150871554825864,0.0834526845285919,0.0787368568134977,0.113249729276557,0.0503370943514864,0.044992489607713,47.1,0.951025255877319,0.0300066370908583,0.00600831382960143,0.0291333356621371,0.000244524400041918,0.00824396548712754,0.0508960072658679,0.949103992734132,0.052,0.03,0.073,0.061,0.104,0.197,0.126,0.177,0.109,0.071,72396,91446,0.079,12079,0.965974004470569,0.0340259955294312,0.00422220382481994,0.00844440764963987,0.037089163010183,0.0782349532246047,0.141485222286613,0.220134117062671,0.152827220796424,0.18196870601871,0.0663962248530507,0.109197781273284,0.731269144796755,0.234704859673814,0.0168888152992797,0.207881447139664,0.140657339183707,0.239672158291249,0.133868697739879,0.227005546816789,"1969"
"6","ALFORD",411,0.523114355231144,0.476885644768856,0.0656934306569343,0.0145985401459854,0.0267639902676399,0.0121654501216545,0.024330900243309,0.0510948905109489,0.0413625304136253,0.0997566909975669,0.0778588807785888,0.119221411192214,0.265206812652068,0.121654501216545,0.0802919708029197,64.3,0.995133819951338,0,0,0.0097323600973236,0,0,0.0608272506082725,0.939172749391727,0.054,0.054,0.015,0.025,0.064,0.158,0.079,0.332,0.074,0.144,103750,138837,0.075,389,0.519280205655527,0.480719794344473,0.0231362467866324,0.0282776349614396,0.205655526992288,0.182519280205656,0.0616966580976864,0.143958868894602,0.0437017994858612,0.06426735218509,0.038560411311054,0.208226221079692,0.498714652956298,0.0205655526992288,0,0.06426735218509,0.0591259640102828,0.159383033419023,0.113110539845758,0.123393316195373,"1980"
"7","AMESBURY",17474,0.492045324482088,0.507954675517912,0.0365686162298272,0.0420624928465148,0.0671283049101522,0.0702758383884629,0.0505322192972416,0.118576170310175,0.120979741329976,0.173858303765595,0.081320819503262,0.0708481172027011,0.100892754950212,0.0461829003090306,0.0207737209568502,44.5,0.975220327343482,0.0209454046011217,0.00869863797642211,0.0302163213917821,0,0.0139063751859906,0.0259814581664187,0.974018541833581,0.046,0.035,0.074,0.046,0.1,0.165,0.127,0.188,0.089,0.13,81027,106197,0.066,7674,0.964816262705238,0.0351837372947615,0.0242376856919468,0.00716705759708105,0.0781860828772478,0.124967422465468,0.10398749022674,0.134219442272609,0.0755798801146729,0.0630701068543133,0.0248892363825906,0.363695595517331,0.653505342715663,0.311310919989575,0.0450873077925463,0.252280427417253,0.17357310398749,0.224263747719573,0.131873859786291,0.137737816002085,"1966"
"8","AMHERST",39995,0.498912364045506,0.501087635954494,0.024528066008251,0.0234529316164521,0.0228528566070759,0.24860607575947,0.356319539942493,0.0701337667208401,0.0564820602575322,0.0527565945743218,0.0386548318539817,0.0241530191273909,0.0496812101512689,0.0216027003375422,0.0107763470433804,21.4,0.782997874734342,0.0845355669458682,0.0117514689336167,0.166820852606576,0.00735091886485811,0.026678334791849,0.0753844230528816,0.924615576947118,0.096,0.066,0.117,0.076,0.096,0.104,0.106,0.128,0.076,0.135,56906,100327,0.251,10550,0.899336492890995,0.100663507109005,0.0265402843601896,0.016303317535545,0.0590521327014218,0.110616113744076,0.150331753554502,0.185971563981043,0.124834123222749,0.071563981042654,0.0224644549763033,0.232322274881517,0.43042654028436,0.468909952606635,0.116492890995261,0.332701421800948,0.107867298578199,0.156398104265403,0.0788625592417062,0.107014218009479,"1973"
"9","ANDOVER",36098,0.480469832123663,0.519530167876337,0.0516926145492825,0.0598371100892016,0.0724416865200288,0.0875117735054574,0.0543520416643581,0.0699207712338634,0.130616654662308,0.167128372763034,0.0834118233697158,0.0793118732339742,0.0851016676824201,0.0419413817940052,0.0167322289323508,42.9,0.816416421962436,0.0272314255637431,0.00371211701479306,0.16992631170702,0.00130201119175578,0.023436201451604,0.0761261011690398,0.92387389883096,0.024,0.018,0.027,0.036,0.048,0.104,0.077,0.153,0.149,0.363,153315,194737,0.035,13221,0.977687013085243,0.0223129869147568,0.0358520535511686,0.0184554874820362,0.0831253309129415,0.0951516526737766,0.141668557597761,0.123969442553513,0.135088117389002,0.110279101429544,0.0313138189244384,0.225096437485818,0.786778609787459,0.190908403297784,0.022691173133651,0.235458739883519,0.162998260343393,0.241282807654489,0.157930565010211,0.15732546705998,"1970"
"10","AQUINNAH",675,0.454814814814815,0.545185185185185,0.0133333333333333,0.037037037037037,0.0325925925925926,0.037037037037037,0.0488888888888889,0.0992592592592593,0.142222222222222,0.082962962962963,0.108148148148148,0.134814814814815,0.24,0.0133333333333333,0.0103703703703704,55.4,0.533333333333333,0.0103703703703704,0.488888888888889,0.0237037037037037,0,0.037037037037037,0.115555555555556,0.884444444444444,0.007,0.011,0.039,0,0.179,0.125,0.168,0.193,0.075,0.204,98182,228195,0.05,630,0.444444444444444,0.555555555555556,0.0444444444444444,0.0174603174603175,0.128571428571429,0.19047619047619,0.225396825396825,0.136507936507936,0.0698412698412698,0.0476190476190476,0.0349206349206349,0.104761904761905,0.385714285714286,0.0587301587301587,0,0.019047619047619,0.0396825396825397,0.131746031746032,0.117460317460317,0.136507936507936,"1985"
"11","ARLINGTON",45379,0.467815509376584,0.532184490623416,0.0652724828665242,0.0541660239317746,0.059454813900703,0.0499570285815025,0.0385200202736949,0.157253355076137,0.150157561867824,0.134511558209745,0.063289186628176,0.0661980211110866,0.0912316269640142,0.0494281495846096,0.020560171004209,39.8,0.828510985257498,0.0399744375151502,0.00539897309328103,0.157275391701007,0,0.0157561867824324,0.0516097754467926,0.948390224553207,0.041,0.029,0.039,0.04,0.061,0.109,0.114,0.2,0.12,0.246,114576,149457,0.055,20012,0.955326803917649,0.0446731960823506,0.00794523286028383,0.0119928043174096,0.0225364781131321,0.0168898660803518,0.0504197481511093,0.107585448730762,0.100389766140316,0.159054567259644,0.0735558664801119,0.44963022186688,0.552818309014591,0.402508494903058,0.0565660603637817,0.254197481511093,0.187787327603438,0.182840295822506,0.11143314011593,0.162502498500899,"1947"
"12","ASHBURNHAM",6304,0.498889593908629,0.501110406091371,0.0632931472081218,0.0645621827411167,0.0574238578680203,0.0894670050761421,0.042988578680203,0.117861675126904,0.124365482233503,0.126586294416244,0.0940672588832487,0.0826459390862944,0.126427664974619,0.00856598984771574,0.00174492385786802,39.3,0.986357868020305,0.0174492385786802,0.00475888324873096,0.00348984771573604,0,0,0.0280774111675127,0.971922588832487,0,0.011,0.016,0.064,0.078,0.095,0.192,0.205,0.206,0.134,113558,127282,0.016,2662,0.783996994740796,0.216003005259204,0.0514650638617581,0.00262960180315552,0.221262208865515,0.120586025544703,0.173929376408715,0.072877535687453,0.0939143501126972,0.0657400450788881,0.0454545454545455,0.152141247182569,0.720886551465064,0.0631104432757325,0.0033809166040571,0.205108940646131,0.102178812922615,0.216754320060105,0.104432757325319,0.152141247182569,"1984"
"13","ASHBY",3211,0.52257863593896,0.47742136406104,0.0270943631267518,0.0426658361881034,0.0635316100903145,0.0541887262535036,0.028651510432887,0.0981002802865151,0.0946745562130177,0.159140454687013,0.125194643413267,0.12488321395204,0.134848956711305,0.0314543755839302,0.0155714730613516,50.3,0.990657116163189,0.029274369355341,0.00622858922454064,0.00716287760822174,0,0,0.0218000622858922,0.978199937714108,0.005,0.019,0.02,0.066,0.075,0.132,0.186,0.297,0.117,0.085,97269,116121,0.022,1320,0.95530303030303,0.0446969696969697,0.0128787878787879,0.00378787878787879,0.162121212121212,0.100757575757576,0.13030303030303,0.078030303030303,0.109848484848485,0.126515151515152,0.0560606060606061,0.21969696969697,0.891666666666667,0.0636363636363636,0.0204545454545455,0.146969696969697,0.0916666666666667,0.296212121212121,0.181060606060606,0.218939393939394,"1969"
"14","ASHFIELD",1793,0.554378137200223,0.445621862799777,0.0206358059118795,0.0373675404350251,0.0223089793641941,0.0457334076965979,0.0317902955939766,0.0870050195203569,0.052983825989961,0.182933630786392,0.126045733407697,0.155047406581149,0.17010596765198,0.0513106525376464,0.0167317345231456,57.1,0.968209704406023,0,0.00948131622978249,0.0267707752370329,0,0.0323480200780814,0.0245398773006135,0.975460122699387,0.034,0.084,0.045,0.052,0.118,0.202,0.164,0.134,0.059,0.109,71250,97469,0.104,976,0.873975409836066,0.126024590163934,0.0112704918032787,0.0102459016393443,0.0368852459016393,0.108606557377049,0.139344262295082,0.125,0.0891393442622951,0.0665983606557377,0.0358606557377049,0.377049180327869,0.738729508196721,0.135245901639344,0.0645491803278689,0.151639344262295,0.125,0.164959016393443,0.130122950819672,0.237704918032787,"1962"
"15","ASHLAND",17787,0.490358126721763,0.509641873278237,0.0449204475178501,0.0730870860740991,0.0567268229605892,0.0405352223534042,0.0452577725304998,0.123236071288019,0.172148198122224,0.124697813009501,0.080395794681509,0.0635857648844662,0.116208466857818,0.0357002305054253,0.0235003092145949,41.7,0.796480575701355,0.0552088604036656,0.0101759712149323,0.131669196604262,0,0.0233316467082701,0.0651599482768314,0.934840051723169,0.032,0.024,0.051,0.012,0.041,0.139,0.124,0.192,0.18,0.207,118348,142742,0.045,7506,0.949107380762057,0.050892619237943,0.0650146549427125,0.028244071409539,0.142819078070877,0.142952304822808,0.198507860378364,0.0767386091127098,0.08419930722089,0.110711430855316,0.0498268052224887,0.100985877964295,0.752331468158806,0.196775912603251,0.0786037836397549,0.241273647748468,0.158673061550759,0.199573674393818,0.151478816946443,0.119504396482814,"1984"
"16","ATHOL",11694,0.478707029245767,0.521292970754233,0.0615700359158543,0.0633658286300667,0.034376603386352,0.0523345305284761,0.0579784504874295,0.124850350607149,0.120489139729776,0.134769967504703,0.0742260988541132,0.0867966478536001,0.118522319138019,0.0466050966307508,0.0241149307337096,44.4,0.950230887634684,0.0315546434068753,0.00838036599965794,0.0198392337951086,0,0.030357448264067,0.0653326492218232,0.934667350778177,0.038,0.064,0.122,0.08,0.123,0.202,0.118,0.15,0.069,0.032,57667,72320,0.115,5176,0.884466769706337,0.115533230293663,0.0139103554868624,0.00154559505409583,0.089451313755796,0.0645285935085008,0.10452086553323,0.080370942812983,0.0521638330757342,0.136785162287481,0.0645285935085008,0.392194744976816,0.634080370942813,0.250386398763524,0.0212519319938176,0.252704791344668,0.145865533230294,0.220826893353941,0.097758887171561,0.146058732612056,"1953"
"17","ATTLEBORO",45023,0.48899451391511,0.51100548608489,0.0778268884792217,0.0471314661395287,0.0562157119694378,0.0543055771494569,0.0516846944894832,0.143948648468561,0.13601936787864,0.133887124358661,0.0772938275992271,0.0632343468893677,0.0920862670190791,0.0426670812695733,0.023698998289763,40.1,0.887124358661129,0.0564600315394354,0.00322057614996779,0.0434888834595651,0.00186571307998134,0.030495524509695,0.064700264309353,0.935299735690647,0.05,0.034,0.08,0.086,0.083,0.154,0.129,0.189,0.094,0.102,77107,97454,0.092,19040,0.918644957983193,0.0813550420168067,0.013813025210084,0.0160714285714286,0.0825105042016807,0.113182773109244,0.145903361344538,0.133245798319328,0.115441176470588,0.104569327731092,0.0518382352941177,0.223424369747899,0.625052521008403,0.29359243697479,0.027468487394958,0.220955882352941,0.194170168067227,0.213760504201681,0.133403361344538,0.128886554621849,"1970"
