FID,statefp20,countyfp20,cousubfp20,cousubns20,geoid20,namelsad20,lsad20,classfp20,mtfcc20,cnectafp20,nectafp20,nctadvfp20,funcstat20,aland20,awater20,intptlat20,intptlon20,town20,town_id,fips_stco20,county20,type,fourcolor,area_acres,sq_miles,pop1960,pop1970,pop1980,pop1990,pop2000,pop2010,pop2020,popch10_20,housing20,gdb_geomattr_data
GISDATA.CENSUS2020TOWNS_POLY.1,25,003,34970,00618269,2500334970,Lenox town,43,T1,G4040,770,76600, ,A,54950826,1168188,+42.3678582,-073.2697633,LENOX,152,25003,BERKSHIRE,T,3,13866.45,21.67,4253,5804,6523,5069,5077,5025,5095,70,3184,
GISDATA.CENSUS2020TOWNS_POLY.29,25,017,48955,00618230,2501748955,North Reading town,43,T1,G4040,715,71650,71634,A,34075952,859059,+42.5784007,-071.0844481,NORTH READING,213,25017,MIDDLESEX,T,1,8632.4,13.49,8331,11264,11455,12002,13837,14892,15554,662,5875,
GISDATA.CENSUS2020TOWNS_POLY.2,25,003,44385,00598751,2500344385,New Ashford town,43,T1,G4040,770,76150, ,A,34862609,36176,+42.6135175,-073.2257782,NEW ASHFORD,200,25003,BERKSHIRE,T,1,8623.5,13.47,165,183,159,192,247,228,250,22,126,
GISDATA.CENSUS2020TOWNS_POLY.5,25,027,12715,00618359,2502712715,Charlton town,43,T1,G4040,715,79600, ,A,109242811,4180299,+42.1339347,-071.9680247,CHARLTON,54,25027,WORCESTER,T,3,28025.52,43.79,3685,4654,6719,9576,11263,12981,13315,334,5239,
GISDATA.CENSUS2020TOWNS_POLY.30,25,017,52805,00618231,2501752805,Pepperell town,43,T1,G4040,715,71650,75404,A,58462230,1527529,+42.6706425,-071.6028575,PEPPERELL,232,25017,MIDDLESEX,T,4,14823.74,23.16,4336,5887,8061,10098,11142,11497,11604,107,4599,
GISDATA.CENSUS2020TOWNS_POLY.31,25,017,68260,00618237,2501768260,Sudbury town,43,T1,G4040,715,71650,71634,A,62866160,1236872,+42.3833674,-071.4210704,SUDBURY,288,25017,MIDDLESEX,T,2,15839.25,24.75,7447,13506,14027,14358,16841,17659,18934,1275,6556,
GISDATA.CENSUS2020TOWNS_POLY.32,25,017,69415,00618238,2501769415,Tewksbury town,43,T1,G4040,715,71650,74804,A,53674575,1094742,+42.6120881,-071.2278451,TEWKSBURY,295,25017,MIDDLESEX,T,1,13533.53,21.15,15902,22755,24635,27266,28851,28961,31342,2381,12139,
GISDATA.CENSUS2020TOWNS_POLY.3,25,003,51580,00619422,2500351580,Otis town,43,T1,G4040, , , ,A,92103734,6461883,+42.2043457,-073.0849616,OTIS,225,25003,BERKSHIRE,T,4,24354.37,38.05,473,820,963,1073,1365,1612,1634,22,1609,
GISDATA.CENSUS2020TOWNS_POLY.48,25,023,38540,00618345,2502338540,Marion town,43,T1,G4040,715,70900, ,A,36591437,31161477,+41.7068394,-070.7509605,MARION,169,25023,PLYMOUTH,T,4,9076.48,14.18,2881,3466,3932,4496,5123,4907,5347,440,2692,
GISDATA.CENSUS2020TOWNS_POLY.49,25,023,39450,00619471,2502339450,Mattapoisett town,43,T1,G4040,715,75550, ,A,44909762,17697675,+41.6613631,-070.8120237,MATTAPOISETT,173,25023,PLYMOUTH,T,1,11119.47,17.37,3117,4500,5597,5850,6268,6045,6508,463,3512,
GISDATA.CENSUS2020TOWNS_POLY.50,25,023,52630,00618348,2502352630,Pembroke town,43,T1,G4040,715,71650,76684,A,56431671,4585316,+42.0678041,-070.8057131,PEMBROKE,231,25023,PLYMOUTH,T,4,15076.64,23.56,4919,11193,13487,14544,16927,17837,18361,524,7007,
GISDATA.CENSUS2020TOWNS_POLY.4,25,015,29265,00618202,2501529265,Hatfield town,43,T1,G4040,790,78100, ,A,41175416,2397606,+42.3894016,-072.6168064,HATFIELD,127,25015,HAMPSHIRE,T,4,10766.48,16.82,2350,2825,3045,3184,3249,3279,3352,73,1634,
GISDATA.CENSUS2020TOWNS_POLY.6,25,011,05560,00619378,2501105560,Bernardston town,43,T1,G4040,790,73300, ,A,60580576,62135,+42.6918507,-072.5598402,BERNARDSTON,29,25011,FRANKLIN,T,2,14985.18,23.41,1370,1659,1750,2048,2155,2129,2102,-27,967,
GISDATA.CENSUS2020TOWNS_POLY.7,25,003,59665,00619426,2500359665,Sandisfield town,43,T1,G4040, , , ,A,134165972,2984554,+42.1074964,-073.1186066,SANDISFIELD,260,25003,BERKSHIRE,T,2,33888.34,52.95,536,547,720,667,824,915,989,74,659,
GISDATA.CENSUS2020TOWNS_POLY.8,25,003,79985,00619430,2500379985,Williamstown town,43,T1,G4040,770,76150, ,A,121037735,314830,+42.6957427,-073.2221178,WILLIAMSTOWN,341,25003,BERKSHIRE,T,4,29986.9,46.85,7322,8454,8741,8220,8424,7754,7513,-241,3009,
GISDATA.CENSUS2020TOWNS_POLY.9,25,017,31540,00618226,2501731540,Hudson town,43,T1,G4040,715,71650,73104,A,29855341,874321,+42.3890712,-071.5458637,HUDSON,141,25017,MIDDLESEX,T,4,7593.01,11.86,9666,16084,16408,17233,18113,19063,20092,1029,8502,
GISDATA.CENSUS2020TOWNS_POLY.17,25,003,00975,00618263,2500300975,Alford town,43,T1,G4040, , , ,A,29801961,105437,+42.2535442,-073.4265278,ALFORD,6,25003,BERKSHIRE,T,1,7389.76,11.55,256,302,394,418,399,494,486,-8,337,
GISDATA.CENSUS2020TOWNS_POLY.18,25,017,80230,00618246,2501780230,Wilmington town,43,T1,G4040,715,71650,71634,A,43961038,439325,+42.5646465,-071.1645158,WILMINGTON,342,25017,MIDDLESEX,T,2,10971.23,17.14,12475,17102,17471,17651,21363,22325,23349,1024,8320,
GISDATA.CENSUS2020TOWNS_POLY.10,25,017,37875,00619404,2501737875,Malden city,25,C5,G4040,715,71650,71634,F,13065182,99282,+42.4293799,-071.0587065,MALDEN,165,25017,MIDDLESEX,C,1,3246.47,5.07,57676,56127,53386,53884,56340,59450,66263,6813,27721,
GISDATA.CENSUS2020TOWNS_POLY.19,25,017,61380,00618233,2501761380,Sherborn town,43,T1,G4040,715,71650,71634,A,40890689,950881,+42.2319469,-071.3729634,SHERBORN,269,25017,MIDDLESEX,T,2,10338.55,16.15,1806,3309,4049,3989,4200,4119,4401,282,1562,
GISDATA.CENSUS2020TOWNS_POLY.20,25,017,61590,00618234,2501761590,Shirley town,43,T1,G4040,715,71650,71634,A,40967067,204892,+42.5736544,-071.6409862,SHIRLEY,270,25017,MIDDLESEX,T,1,10173.52,15.9,5202,4909,5124,6118,6373,7211,7431,220,2599,
