OID_,SOURCE_ID,SITE_NAME,TOWN,REGION,LATITUDE,LONGITUDE,TYPE,ZII_NUM,PWS_ID
0,3163000-04S,WALDEN POND (PUMP),LYNN,3,42.492523519999999,-71.007581119999998,SW,0,3163000
1,2101000-08G,GP WELL 8,FRANKLIN,2,42.133205120000000,-71.385352069999996,GW,652,2101000
2,4076000-03G,CEDAR ST. GP WELL  2,DIGHTON,4,41.819536560000003,-71.180398030000006,GW,546,4076000
3,1043023-01G,MOJOS RISE N DINE,BRIMFIELD,1,42.113982909999997,-72.158332770000001,TNC,0,1043023
4,2216008-0BG,PROPOSED RWC-2,NORTHBRIDGE,2,42.134471840000003,-71.640716810000001,PW,673,2216008
5,4334059-01G,WELL # 1,WESTPORT,4,41.558745459999997,-71.123198049999999,GW,0,4334059
6,1112010-01G,MAPLE CORNER FARM,GRANVILLE,1,42.126479189999998,-72.960538909999997,TNC,0,1112010
7,4261024-02G,WELL #2,SANDWICH,4,41.733385869999999,-70.507236879999994,GW,575,4261024
8,1200010-01G,RONNIES CYCLE,NEW ASHFORD,1,42.606617989999997,-73.234588189999997,TNC,0,1200010
9,2054072-01G,GROWING FOOTPRINTS EDUCATION CENTER,CHARLTON,2,42.145481879999998,-71.996832749999996,NTNC,0,2054072
10,2054065-03G,19 & 21 WORCESTER ROAD,CHARLTON,2,42.145343859999997,-71.990557050000007,TNC,0,2054065
11,4318118-02G,HIAWATHA CONDOMINIUMS,WELLFLEET,4,41.914850999999999,-70.027438869999997,TNC,0,4318118
12,4261009-01G,AMARI BAR AND RISTORANTE,SANDWICH,4,41.728500560000001,-70.399780430000007,TNC,0,4261009
13,4300040-01G,WELL #1,TRURO,4,42.026589950000002,-70.077939729999997,GW,0,4300040
14,1260011-01G,NEW BOSTON STORE,SANDISFIELD,1,42.094461230000000,-73.074646689999994,TNC,0,1260011
15,4351000-17G,GP WELL  17,YARMOUTH,4,41.666210870000000,-70.243043200000002,GW,157,4351000
16,3128000-03S,CRYSTAL LAKE,HAVERHILL,3,42.799337260000001,-71.148278919999996,SW,0,3128000
17,4088000-0BG,BORDERLAND PW-2 (SITE 8-87),EASTON,4,42.064413289999997,-71.149274009999999,PW,90,4088000
18,4145000-02G,SOULES POND GP WELL  1,KINGSTON,4,41.982931440000002,-70.747061079999995,GW,40,4145000
19,1237001-01G,PEPPERMINT PARK CAMPING RESORT,PLAINFIELD,1,42.515950689999997,-72.874202760000003,TNC,0,1237001
20,1024018-01G,EVERGREENE GOLF CENTER,BELCHERTOWN,1,42.281528080000001,-72.385667209999994,TNC,0,1024018
21,3092000-02G,HARRY HOMANS 2 GP WELL,ESSEX,3,42.620765300000002,-70.803080570000006,GW,535,3092000
22,1227005-01G,MANGOS CAFE,PALMER,1,42.159166489999997,-72.359349960000003,TNC,0,1227005
23,2037028-01G,UNITED CHURCH OF CHRIST/DAYCARE,BOXBOROUGH,2,42.482930310000000,-71.514362079999998,NTNC,0,2037028
24,2235003-01G,WOODLAND CAMPGROUND,PHILLIPSTON,2,42.594036090000003,-72.139511029999994,TNC,0,2235003
25,1058002-01G,WELL #1,CHESHIRE,1,42.566334089999998,-73.145182649999995,GW,0,1058002
26,2286006-02G,STOW FIRE AND COMMUNITY CENTER,STOW,2,42.437316299999999,-71.520693199999997,NTNC,0,2286006
27,2185000-10G,GODFREY WELL 1A,MILFORD,2,42.133820090000000,-71.510802130000002,GW,155,2185000
28,4245002-07G,FIRST ST. REPLACEMENT WELL 2,RAYNHAM,4,41.933742660000000,-71.078887719999997,GW,627,4245002
29,1349001-01G,LITTLE RIVER CAFE,WORTHINGTON,1,42.374157089999997,-72.917198220000003,TNC,0,1349001
30,1349000-07G,SPRING #3 (07G),WORTHINGTON,1,42.419527420000001,-72.950985329999995,GW,605,1349000
31,3335008-03G,"HALE RESERVATION, INC.",WESTWOOD,3,42.236173860000001,-71.233417360000004,TNC,0,3335008
32,3198000-11G,ELM BANK 2 G.P. WELL,NATICK,3,42.281833759999998,-71.298889140000000,GW,83,3198000
33,3023000-06G,WELL  8  (TURNPIKE G.P. WELL 8),BEDFORD,3,42.519535140000002,-71.240990920000002,GW,244,3023000
34,2139003-02G,HOPKINTON COUNTRY CLUB,HOPKINTON,2,42.263332880000000,-71.557500210000001,NTNC,0,2139003
35,4334091-01G,COAKSETT COMMONS,WESTPORT,4,41.650412619999997,-71.070267970000003,NTNC,0,4334091
36,3048000-04G,WYMAN 8 TUB. WELLS,BURLINGTON,3,42.491129309999998,-71.170629669999997,GW,474,3048000
37,1033002-01G,SNOWS STEAK HOUSE,BLANDFORD,1,42.171486160000001,-73.005050639999993,TNC,0,1033002
38,1113012-02G,UAHC EISNER CAMP INSTITUTE,GREAT BARRINGTON,1,42.177300230000000,-73.349400020000004,TNC,0,1113012
39,1225022-03G,DCR TOLLAND STATE FOREST,OTIS,1,42.150058680000001,-73.043479950000005,TNC,0,1225022
40,2280010-01G,LITTLE CHELSEAS LEARNING CENTER,SPENCER,2,42.260722110000003,-72.014864619999997,NTNC,0,2280010
41,4099000-0GG,BRW#4,FOXBOROUGH,4,42.042630000000003,-71.269595850000002,PW,664,4099000
