"city","parcels","wells","served_by_pws","well_and_pws","neither","well_percent","pws_percent","unsure"
"ABINGTON",5143,39,4843,37,298,0,93.4,6.5
"ACTON",7992,275,7381,95,431,0,91.2,6.6
"ACUSHNET",3752,318,2762,47,719,0.1,72.4,20.4
"ADAMS",2814,61,2629,13,137,0,93,5.3
"AGAWAM",10210,39,9844,28,355,0,96.1,3.8
"ALFORD",333,83,0,0,250,0.2,0,75.1
"AMESBURY",5978,40,5329,23,632,0,88.8,11
"AMHERST",6000,148,5381,62,533,0,88.7,9.9
"ANDOVER",11262,85,11146,51,82,0,98.5,1.2
"AQUINNAH",457,144,0,0,313,0.3,0,68.5
"ARLINGTON",14463,4,14463,4,0,0,100,0
"ASHBURNHAM",2776,229,1440,23,1130,0.1,51,41.5
"ASHBY",1171,220,1,0,950,0.2,0.1,81.1
"ASHFIELD",774,208,112,2,456,0.3,14.2,59.2
"ASHLAND",6089,83,5921,54,139,0,96.4,3.2
"ATHOL",4223,142,3047,12,1046,0,71.9,25.1
"ATTLEBORO",13406,51,12954,45,446,0,96.3,3.7
"AUBURN",6005,306,5327,97,469,0,87.1,9.4
"AVON",1518,26,1511,25,6,0,97.9,2
"AYER",2677,16,2659,13,15,0,98.8,1
"BARNSTABLE",24788,428,23083,165,1442,0,92.5,6.5
"BARRE",1958,98,963,9,906,0,48.7,46.7
"BECKET",1804,395,0,0,1409,0.2,0,78.1
"BEDFORD",4381,35,4298,35,83,0,97.3,2.7
"BELCHERTOWN",5222,578,1286,37,3395,0.1,23.9,65.7
"BELLINGHAM",5911,103,5778,73,103,0,96.5,3
"BELMONT",8216,2,8210,2,6,0,99.9,0.1
"BERKLEY",2260,688,20,0,1552,0.3,0.9,68.7
"BERLIN",1281,306,259,71,787,0.2,14.7,67
"BERNARDSTON",823,106,514,4,207,0.1,62,25.6
"BEVERLY",11613,36,11612,36,1,0,99.7,0.3
"BILLERICA",13035,73,13009,72,25,0,99.2,0.7
"BLACKSTONE",3045,247,2794,128,132,0,87.6,8.5
"BLANDFORD",583,131,198,12,266,0.2,31.9,47.7
"BOLTON",1906,344,139,0,1423,0.2,7.3,74.7
"BOSTON",149993,179,149169,179,824,0,99.3,0.7
"BOURNE",9535,54,8980,20,521,0,94,5.7
"BOXBOROUGH",2123,519,660,0,944,0.2,31.1,44.5
"BOXFORD",2741,392,59,1,2291,0.1,2.1,83.6
"BOYLSTON",1917,143,1436,43,381,0.1,72.7,22.1
"BRAINTREE",11663,81,11657,81,6,0,99.3,0.7
"BREWSTER",7520,263,6980,143,420,0,90.9,7.5
"BRIDGEWATER",7325,76,7253,68,64,0,98.1,1.8
"BRIMFIELD",1482,281,2,0,1199,0.2,0.1,80.9
"BROCKTON",23161,927,23058,924,100,0,95.6,4.4
"BROOKFIELD",1064,162,385,3,520,0.1,35.9,49.2
"BROOKLINE",17143,5,17143,5,0,0,100,0
"BUCKLAND",758,134,370,0,254,0.2,48.8,33.5
"BURLINGTON",7308,5,7289,5,19,0,99.7,0.3
"CAMBRIDGE",26499,1,26499,1,0,0,100,0
"CANTON",7696,32,7369,16,311,0,95.5,4.2
"CARLISLE",1841,1058,3,1,781,0.6,0.1,42.5
"CARVER",3538,495,135,5,2913,0.1,3.7,82.5
"CHARLEMONT",531,172,2,0,357,0.3,0.4,67.2
"CHARLTON",4620,1022,40,3,3561,0.2,0.8,77.1
"CHATHAM",6928,136,6547,123,368,0,92.7,7.1
"CHELMSFORD",12360,55,12222,55,138,0,98.4,1.6
"CHELSEA",5778,1,5777,1,1,0,100,0
"CHESHIRE",1322,229,577,9,525,0.2,43,40.4
"CHESTER",547,113,219,3,218,0.2,39.5,40.4
"CHESTERFIELD",622,239,0,0,383,0.4,0,61.6
"CHICOPEE",16119,58,15957,57,161,0,98.6,1.4
"CHILMARK",1427,341,0,0,1086,0.2,0,76.1
"CLARKSBURG",687,96,210,3,384,0.1,30.1,56.3
"CLINTON",4498,17,4484,9,6,0,99.5,0.3
"COHASSET",2846,52,2841,52,5,0,98,2
"COLRAIN",740,228,96,5,421,0.3,12.3,57.6
"CONCORD",6070,134,5811,73,198,0,94.5,4.5
"CONWAY",670,230,0,0,440,0.3,0,65.7
"CUMMINGTON",428,69,87,0,272,0.2,20.3,63.6
"DALTON",2355,66,2099,11,201,0,88.7,9
"DANVERS",8610,17,8605,17,5,0,99.7,0.3
"DARTMOUTH",11538,244,8762,25,2557,0,75.7,22.4
"DEDHAM",8246,57,8246,57,0,0,99.3,0.7
"DEERFIELD",1942,129,1330,5,488,0.1,68.2,25.4
"DENNIS",14789,27,14788,27,1,0,99.8,0.2
"DIGHTON",2716,174,1708,25,859,0.1,62,32.5
"DOUGLAS",3298,480,1030,7,1795,0.1,31,54.6
"DOVER",2046,426,704,50,966,0.2,32,49.7
"DRACUT",10559,178,9384,63,1060,0,88.3,10.6
"DUDLEY",3921,327,2242,48,1400,0.1,56,36.9
"DUNSTABLE",1165,217,84,3,867,0.2,7,74.7
"DUXBURY",5712,58,5104,37,587,0,88.7,10.9
"EAST BRIDGEWATER",4657,37,4515,26,131,0,96.4,3.4
"EAST BROOKFIELD",969,121,483,2,367,0.1,49.6,38.1
"EAST LONGMEADOW",5965,65,5885,65,80,0,97.6,2.4
"EASTHAM",5831,2298,3755,1479,1257,0.1,39,46.9
"EASTHAMPTON",5410,13,5238,8,167,0,96.7,3.2
"EASTON",7700,64,7580,61,117,0,97.6,2.3
"EDGARTOWN",4666,611,3434,264,885,0.1,67.9,24.6
"EGREMONT",864,189,93,8,590,0.2,9.8,69.2
"ERVING",636,163,248,2,227,0.3,38.7,36
"ESSEX",1322,120,838,22,386,0.1,61.7,30.9
