town,county,region,total_population,parcels,parcels_county,parcels_region,wells_gdb,wells_gdb_county,wells_gdb_region,wells_sm,wells_sm_county,wells_sm_region,locations,locations_with_coords,locations_county,locations_with_coords_county,locations_region,locations_with_coords_region,usgs_sites,raw_water_sites,finished_water_sites,mean_usgs,mean_raw_eea,mean_finished_ntnc,mean_total,mean_usgs_county,mean_raw_eea_county,mean_finished_ntnc_county,mean_total_county,mean_usgs_region,mean_raw_eea_region,mean_finished_ntnc_region,mean_total_region,over_1_town,over_5_town,over_10_town,percent_over_one_county,percent_over_five_county,percent_over_ten_county,percent_over_one_region,percent_over_five_region,percent_over_ten_region,percent_wells_gdb,percent_wells_gdb_county,percent_wells_gdb_region,percent_wells_sm,percent_wells_sm_county,percent_wells_sm_region,difference,difference_county,difference_region
RUTLAND,WORCESTER,CERO,8799,3405,509592,509592,537,38950,38950,1785,126866,126866,3,3,477,375,477,375,0,1,2,NA,0.043,0.000968286170147221,0.0149788574467648,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0.333333333333333,0.333333333333333,0.333333333333333,0.480083857442348,0.184486373165618,0.10272536687631,0.490566037735849,0.186582809224319,0.10272536687631,0.157709251101322,0.076433695976389,0.076433695976389,0.524229074889868,0.248956027567152,0.248956027567152,0.366519823788546,0.172522331590763,0.172522331590763
SOUTHBRIDGE,WORCESTER,CERO,16865,4369,509592,509592,238,38950,38950,424,126866,126866,0,0,477,375,477,375,0,0,0,NA,NA,NA,0.00140570591793871,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0.166666666666667,0.0952380952380952,0.0238095238095238,0.480083857442348,0.184486373165618,0.10272536687631,0.490566037735849,0.186582809224319,0.10272536687631,0.0544747081712062,0.076433695976389,0.076433695976389,0.0970473792629892,0.248956027567152,0.248956027567152,0.042572671091783,0.172522331590763,0.172522331590763
NORTHBOROUGH,WORCESTER,CERO,15047,5034,509592,509592,457,38950,38950,932,126866,126866,2,2,477,375,477,375,0,1,1,NA,0.00130353555006283,0.00130353555006283,0.00130353555006283,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,1,0,0,0.480083857442348,0.184486373165618,0.10272536687631,0.490566037735849,0.186582809224319,0.10272536687631,0.0907826777910211,0.076433695976389,0.076433695976389,0.185141040921732,0.248956027567152,0.248956027567152,0.0943583631307112,0.172522331590763,0.172522331590763
BOLTON,WORCESTER,CERO,5356,1906,509592,509592,419,38950,38950,1767,126866,126866,22,21,477,375,477,375,0,8,14,NA,0.000607545320482617,0.00156423802811053,0.00121634977079129,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0.181818181818182,0.0454545454545455,0,0.480083857442348,0.184486373165618,0.10272536687631,0.490566037735849,0.186582809224319,0.10272536687631,0.219832109129066,0.076433695976389,0.076433695976389,0.92707240293809,0.248956027567152,0.248956027567152,0.707240293809024,0.172522331590763,0.172522331590763
ROYALSTON,WORCESTER,CERO,1451,565,509592,509592,161,38950,38950,555,126866,126866,3,1,477,375,477,375,1,0,2,0.00005,NA,0.00122742577673741,0.000834950517824941,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0.666666666666667,0,0,0.480083857442348,0.184486373165618,0.10272536687631,0.490566037735849,0.186582809224319,0.10272536687631,0.284955752212389,0.076433695976389,0.076433695976389,0.982300884955752,0.248956027567152,0.248956027567152,0.697345132743363,0.172522331590763,0.172522331590763
ATHOL,WORCESTER,CERO,11694,4223,509592,509592,146,38950,38950,1176,126866,126866,1,0,477,375,477,375,0,0,1,NA,NA,0.000651679656263757,0.000651679656263757,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0,0,0,0.480083857442348,0.184486373165618,0.10272536687631,0.490566037735849,0.186582809224319,0.10272536687631,0.0345725787354961,0.076433695976389,0.076433695976389,0.278475017759886,0.248956027567152,0.248956027567152,0.24390243902439,0.172522331590763,0.172522331590763
NORTHBRIDGE,WORCESTER,CERO,16616,5138,509592,509592,249,38950,38950,773,126866,126866,0,0,477,375,477,375,0,0,0,NA,NA,NA,0.0005,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0,0,0,0.480083857442348,0.184486373165618,0.10272536687631,0.490566037735849,0.186582809224319,0.10272536687631,0.0484624367458155,0.076433695976389,0.076433695976389,0.150447644998054,0.248956027567152,0.248956027567152,0.101985208252238,0.172522331590763,0.172522331590763
LUNENBURG,WORCESTER,CERO,11530,4283,509592,509592,462,38950,38950,1952,126866,126866,6,6,477,375,477,375,0,5,1,NA,0.000533530088294548,0.003,0.000944608406912124,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0.166666666666667,0,0,0.480083857442348,0.184486373165618,0.10272536687631,0.490566037735849,0.186582809224319,0.10272536687631,0.107868316600514,0.076433695976389,0.076433695976389,0.455755311697408,0.248956027567152,0.248956027567152,0.347886995096895,0.172522331590763,0.172522331590763
HOLDEN,WORCESTER,CERO,19128,7139,509592,509592,242,38950,38950,623,126866,126866,0,0,477,375,477,375,0,0,0,NA,NA,NA,0.0311304206003923,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0.333333333333333,0.166666666666667,0.166666666666667,0.480083857442348,0.184486373165618,0.10272536687631,0.490566037735849,0.186582809224319,0.10272536687631,0.0338983050847458,0.076433695976389,0.076433695976389,0.0872671242470934,0.248956027567152,0.248956027567152,0.0533688191623477,0.172522331590763,0.172522331590763
CHARLTON,WORCESTER,CERO,13610,4620,509592,509592,1259,38950,38950,4580,126866,126866,69,48,477,375,477,375,19,24,26,0.00268578947368421,0.00727284811104298,0.00354209307759465,0.00460395325626801,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0.00407018229166667,0.00818592643939919,0.00229276505580558,0.00536045616678681,0.739130434782609,0.260869565217391,0.115942028985507,0.480083857442348,0.184486373165618,0.10272536687631,0.490566037735849,0.186582809224319,0.10272536687631,0.272510822510823,0.076433695976389,0.076433695976389,0.991341991341991,0.248956027567152,0.248956027567152,0.718831168831169,0.172522331590763,0.172522331590763
