age;percent_consuming_lci;x5th_bw;mean_bw;x95th_bw;ir_5th;ir_mean;ir_95th;age2
0-5;0.56;10.6;14.1;18.8;0.165;0.2;0.235;0
5-9;0.64;18.5;29.2;47.2;0.243;0.277;0.311;5
10-14;0.58;31.1;51.8;81.5;0.26;0.311;0.362;10
15-19;0.6;48.2;71.6;108;0.389;0.436;0.483;15
20-24;0.65;50.3;77;116;0.632;0.712;0.792;20
25-34;0.69;52.1;79.6;118;0.755;0.842;0.928;25
35-44;0.68;53.9;82.2;120;0.802;0.891;0.98;35
45-54;0.66;54.5;83.5;121;0.828;0.918;1.008;45
55-59;0.67;54.7;83.4;120;0.87;0.956;1.042;55
60-64;0.68;55.2;82.6;116;0.827;0.941;1.055;60
65-74;0.66;53.6;79.5;111;0.754;0.857;0.959;65
75-84;0.68;49.5;72.4;99.8;0.687;0.778;0.869;75
85+;0.72;46.9;68.5;93.6;0.694;0.784;0.874;NA
