source,threshold,total_above,total_below,accuracy,sensitivity,specificity
Total,1,256,364,61\% (89.7\%),36.7\% (87.1\%),78\% (91.5\%)
Total,5,86,534,87.3\% (93.4\%),12.8\% (52.3\%),99.3\% (100\%)
Total,10,44,576,92.7\% (95.8\%),4.5\% (40.9\%),99.5\% (100\%)
USGS,1,41,85,62.7\% (90.5\%),22\% (78\%),82.4\% (96.5\%)
USGS,5,18,108,87.3\% (95.2\%),11.1\% (66.7\%),100\% (100\%)
USGS,10,7,119,94.4\% (98.4\%),0\% (71.4\%),100\% (100\%)
EEA Raw GW,1,129,162,59.1\% (89.3\%),41.9\% (90.7\%),72.8\% (88.3\%)
EEA Raw GW,5,51,240,83.8\% (91.1\%),11.8\% (49\%),99.2\% (100\%)
EEA Raw GW,10,32,259,89.3\% (92.8\%),6.2\% (34.4\%),99.6\% (100\%)
EEA Finished NTNC or TNC,1,86,117,62.6\% (89.7\%),36\% (86\%),82.1\% (92.3\%)
EEA Finished NTNC or TNC,5,17,186,92.1\% (95.6\%),17.6\% (47.1\%),98.9\% (100\%)
EEA Finished NTNC or TNC,10,5,198,96.6\% (98.5\%),0\% (40\%),99\% (100\%)
