County,parcels,Well Viewer Assigned Wells,Parcels Not in PWS Bounds,Well and PWS,No Well or PWS,Parcels
Barnstable,151914,4.5%,11.5%,2.4%,7%,151,914
Berkshire,53176,9.6%,38.9%,0.5%,29.3%,53,176
Bristol,166438,3.5%,16.9%,0.8%,13.4%,166,438
Dukes,15617,12.2%,36.1%,2.3%,23.9%,15,617
Essex,227850,1.4%,6.2%,0.7%,4.7%,227,850
Franklin,26241,13.9%,49.6%,0.4%,35.7%,26,241
Hampden,136590,3%,14.5%,0.5%,11.5%,136,590
Hampshire,49186,7.9%,31.4%,1.1%,23.6%,49,186
Middlesex,459156,2.4%,6.5%,0.7%,4.1%,459,156
Nantucket,10182,21.8%,32%,10.2%,10.2%,10,182
Norfolk,214205,1.5%,4.2%,0.9%,2.6%,214,205
Plymouth,175071,2.8%,14.2%,1.3%,11.4%,175,071
Suffolk,173518,0.1%,0.6%,0.1%,0.5%,173,518
Worcester,254796,6.9%,26.2%,1.3%,19.2%,254,796
